Sales Year,Year Built,Average Sales Price,Dec 16 CPI Adjusted
2016,Pre 1945,1054053,1054053
2016,1945-1950,891158,891158
2016,1951-1960,969910,969910
2016,1961-1970,1093921,1093921
2016,1971-1980,1021594,1021594
2016,1981-1990,1284464,1284464
2016,1991-2000,1397047,1397047
2016,2001-2010,1632893,1632893
2016,2010-2016,1943157,1943157
2015,Pre 1945,1056796,1076481
2015,1945-1950,879285,895664
2015,1951-1960,950487,968192
2015,1961-1970,1002950,1021632
2015,1971-1980,925007,942237
2015,1981-1990,1243590,1266755
2015,1991-2000,1450588,1477609
2015,2001-2010,1717948,1749949
2015,2010-2016,1634770,1665221
2014,Pre 1945,998412,1018217
2014,1945-1950,821240,837530
2014,1951-1960,815867,832051
2014,1961-1970,967319,986507
2014,1971-1980,1049846,1070671
2014,1981-1990,1145054,1167768
2014,1991-2000,1320488,1346682
2014,2001-2010,1548871,1579595
2014,2010-2016,1669810,1702933
2013,Pre 1945,885797,918022
2013,1945-1950,767931,795868
2013,1951-1960,811590,841116
2013,1961-1970,845117,875862
2013,1971-1980,939241,973411
2013,1981-1990,1153333,1195291
2013,1991-2000,1234746,1279666
2013,2001-2010,1462871,1516090
2013,2010-2016,1436069,1488313
2012,Pre 1945,825209,867757
2012,1945-1950,732696,770474
2012,1951-1960,703523,739797
2012,1961-1970,769510,809186
2012,1971-1980,910706,957663
2012,1981-1990,1133350,1191786
2012,1991-2000,1277620,1343495
2012,2001-2010,1355641,1425539
2012,2010-2016,1474011,1550012
2011,Pre 1945,843379,905217
2011,1945-1950,662469,711043
2011,1951-1960,657999,706245
2011,1961-1970,761395,817222
2011,1971-1980,832631,893681
2011,1981-1990,1018812,1093513
2011,1991-2000,1276307,1369889
2011,2001-2010,1484118,1592937
2011,2010-2016,1282574,1376615
