Year,Municipality,Median Sales Price,Median Sales Price Adjusted
1995,Lexington,290000,451017
1995,Burlington,181000,281497
1995,Norwood,169250,263223
1995,Reading,195500,304047
1995,Winchester,323500,503117
1996,Lexington,311500,470560
1996,Burlington,190000,287019
1996,Norwood,168750,254918
1996,Reading,217000,327806
1996,Winchester,310000,468294
1997,Lexington,354500,523505
1997,Burlington,195000,287965
1997,Norwood,174900,258282
1997,Reading,215000,317499
1997,Winchester,347500,513168
1998,Lexington,369900,537869
1998,Burlington,212500,308995
1998,Norwood,190000,276277
1998,Reading,239900,348837
1998,Winchester,372500,541649
1999,Lexington,410000,583295
1999,Burlington,250500,356379
1999,Norwood,217000,308720
1999,Reading,259900,369752
1999,Winchester,411000,584718
2000,Lexington,453950,624819
2000,Burlington,276000,379888
2000,Norwood,235500,324143
2000,Reading,300000,412922
2000,Winchester,489500,673750
2001,Lexington,500000,669161
2001,Burlington,317950,425520
2001,Norwood,274000,366700
2001,Reading,318500,426256
2001,Winchester,562250,752472
2002,Lexington,561550,739838
2002,Burlington,350000,461123
2002,Norwood,320000,421598
2002,Reading,369900,487341
2002,Winchester,585000,770733
2003,Lexington,615000,792204
2003,Burlington,362250,466627
2003,Norwood,348000,448271
2003,Reading,394400,508041
2003,Winchester,687000,884949
2004,Lexington,650000,815569
2004,Burlington,409950,514373
2004,Norwood,385000,483068
2004,Reading,421250,528552
2004,Winchester,685000,859485
2005,Lexington,691500,839208
2005,Burlington,412500,500612
2005,Norwood,404000,490296
2005,Reading,438000,531559
2005,Winchester,735000,891999
2006,Lexington,682250,802107
2006,Burlington,400000,470272
2006,Norwood,388750,457045
2006,Reading,420000,493785
2006,Winchester,724900,852250
2007,Lexington,691500,790628
2007,Burlington,410000,468775
2007,Norwood,372500,425899
2007,Reading,416750,476492
2007,Winchester,675250,772049
2008,Lexington,700000,770597
2008,Burlington,365000,401811
2008,Norwood,356500,392454
2008,Reading,402000,442543
2008,Winchester,722500,795366
2009,Lexington,630000,696014
2009,Burlington,368000,406560
2009,Norwood,346500,382808
2009,Reading,400000,441914
2009,Winchester,710000,784396
2010,Lexington,693500,753803
2010,Burlington,382000,415217
2010,Norwood,349100,379456
2010,Reading,421500,458151
2010,Winchester,715000,777173
2011,Lexington,701500,739167
2011,Burlington,358000,377223
2011,Norwood,344950,363472
2011,Reading,400000,421478
2011,Winchester,739900,779629
2012,Lexington,725000,748440
2012,Burlington,384000,396415
2012,Norwood,330000,340669
2012,Reading,420000,433579
2012,Winchester,700500,723148
2013,Lexington,829000,843448
2013,Burlington,411000,418163
2013,Norwood,381250,387894
2013,Reading,460000,468017
2013,Winchester,825000,839378
2014,Lexington,950000,951128
2014,Burlington,428500,429009
2014,Norwood,381250,381703
2014,Reading,475000,475564
2014,Winchester,905000,906074
2015,Lexington,925000,925000
2015,Burlington,451000,451000
2015,Norwood,411000,411000
2015,Reading,512000,512000
2015,Winchester,918000,918000
